dataset_name,filter_name,image_difference_mean,image_difference_median,image_difference_std,saliency_divergence_mean,saliency_divergence_median,saliency_divergence_std,saliency_divergence_log_mean,saliency_divergence_log_median,saliency_divergence_log_std,divergence_per_difference_mean,divergence_per_difference_median,divergence_per_difference_std,divergence_per_difference_log_mean,divergence_per_difference_log_median,divergence_per_difference_log_std,base_information_gain_mean,base_information_gain_median,base_information_gain_std,base_information_gain_log_mean,base_information_gain_log_median,base_information_gain_log_std,filtered_information_gain_mean,filtered_information_gain_median,filtered_information_gain_std,filtered_information_gain_log_mean,filtered_information_gain_log_median,filtered_information_gain_log_std,information_asymmetry_mean,information_asymmetry_median,information_asymmetry_std,information_asymmetry_log_mean,information_asymmetry_log_median,information_asymmetry_log_std,information_asymmetry_per_difference_mean,information_asymmetry_per_difference_median,information_asymmetry_per_difference_std,information_asymmetry_per_difference_log_mean,information_asymmetry_per_difference_log_median,information_asymmetry_per_difference_log_std
MIT1003,all_filters,59.1042377037431,55.518837187025284,33.29443385481424,1.8724117591724592e-07,8.90032557948618e-08,3.015254454227356e-07,3.927346856054692e-05,6.5062573919042144e-06,6.838469511744208e-05,nan,nan,nan,nan,nan,nan,2.2125116668566656e-06,2.121680818386472e-06,6.964646776656526e-07,1.0472202767558146e-05,1.0452733169535397e-05,1.7860595757504758e-06,2.1111338572982936e-06,2.010363690519279e-06,6.72986847021567e-07,1.0240110943559161e-05,1.0154782498299907e-05,1.7834815613323834e-06,-1.0137780955837266e-07,-2.979385465232957e-08,3.2554802157676275e-07,-2.3209182399898905e-07,-6.732818484750637e-08,1.2293748062979918e-06,nan,nan,nan,nan,nan,nan
MIT1003,bloom_filter_1,19.947766985194107,13.65474094086515,21.71771419626752,1.593817966343179e-08,9.554012405131785e-09,2.1972336654291653e-08,3.3131526498967753e-06,4.999513714589642e-07,1.2840101668137126e-05,2.1878534173883617e-09,7.948950963271525e-10,7.925443352057651e-09,4.730326699471973e-07,4.2228461792803023e-08,3.626348848200295e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,2.2002388238181276e-06,2.102785054872329e-06,6.900705354474084e-07,1.0469568159088107e-05,1.0409240741713697e-05,1.7960092274698764e-06,-1.2272843038538187e-08,-6.195019077326776e-09,6.209303315218211e-08,-2.6346084700429905e-09,-1.6560933669848511e-09,5.982109653920306e-07,-1.6226729666663196e-09,-3.7711859949275957e-10,3.045041994362658e-08,8.749435707971546e-09,-1.3090852329489893e-10,1.7129170674774326e-07
MIT1003,bloom_filter_10,33.93448967812737,30.483864494436077,22.816661033702573,1.1570425895422499e-07,6.18389318923171e-08,2.342997303056297e-07,2.4915704761686206e-05,3.931692712541526e-06,5.2377420576919784e-05,5.487286623122253e-09,2.4055908446972967e-09,2.6600369664640974e-08,1.3080173819309805e-06,1.4144211705245525e-07,5.308833447262171e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,2.148999117565453e-06,2.067936222635344e-06,6.69047415516715e-07,1.0452587438747381e-05,1.0394801924249945e-05,1.7772688832186054e-06,-6.351254929121301e-08,-3.681436003483911e-08,2.0507994524974858e-07,-1.961532881076797e-08,-1.00928945741621e-09,1.0942091586389536e-06,2.613491127839301e-10,-1.2378428715600505e-09,9.019156130289884e-08,-1.2975797023828181e-09,-3.665933857961385e-11,1.448479853424323e-07
MIT1003,bloom_filter_2,21.765682057805947,17.18727069430881,20.453671105988594,3.45123823760294e-08,1.935862160696102e-08,5.459936703062355e-08,7.160045896317739e-06,9.204175282368743e-07,2.1901190560328743e-05,3.929850134871885e-09,1.3117670755792072e-09,2.191211642697153e-08,9.115286486304095e-07,6.6776508445819e-08,7.2851000186385025e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,2.1856516786966295e-06,2.0904596799855153e-06,6.845324322497122e-07,1.0467559552565435e-05,1.0377010072234527e-05,1.80476756598302e-06,-2.6859988160036314e-08,-1.5579052449646315e-08,1.0462729373796567e-07,-4.643214992713301e-09,-1.0697732425201634e-08,7.981488593775219e-07,7.806051760278954e-10,-8.346467537557752e-10,7.506788591690783e-08,1.0060111333767448e-09,-5.883193200336407e-10,3.264310209382895e-07
MIT1003,bloom_filter_3,23.73746962688196,19.569385913727523,20.755378346327895,4.870462682069676e-08,2.722917593403922e-08,7.715908854437876e-08,1.0137395565201525e-05,1.3115781351892128e-06,2.7699704341297567e-05,4.735333382630112e-09,1.6414397762398174e-09,2.7601789258252216e-08,1.1061637270316292e-06,8.471458711165372e-08,8.581160891427749e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,2.1724217686391274e-06,2.0779989345508158e-06,6.78704985465043e-07,1.0451643803855161e-05,1.0379926654053146e-05,1.7991757444720855e-06,-4.008989821753833e-08,-2.4932320189032658e-08,1.2826288202805483e-07,-2.0558963702990578e-08,-1.6391713794279176e-08,8.301172167265239e-07,8.596536262349646e-10,-1.1542565227743765e-09,9.549531947149967e-08,6.34997333403473e-09,-6.839358328410934e-10,2.718155781673433e-07
MIT1003,bloom_filter_4,25.582156083199585,21.61559083726671,21.07165379231031,5.651804201885258e-08,3.261865332155789e-08,8.948213813920767e-08,1.2144201872495787e-05,1.6148417686170435e-06,3.140416866707314e-05,4.825907505965701e-09,1.73849569521231e-09,2.685189197959944e-08,1.1880580684370782e-06,8.71685928436132e-08,8.49679319029994e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,2.167993477546955e-06,2.072163164526503e-06,6.77493119030614e-07,1.0464812525120525e-05,1.0356607333009617e-05,1.7809995777548455e-06,-4.451818930971029e-08,-2.5613263699065986e-08,1.4056277222714642e-07,-7.390242437624154e-09,-1.770765082569054e-08,8.703677296919508e-07,6.125234709607702e-10,-1.1762730324615526e-09,8.793533680449884e-08,7.68491326595024e-09,-7.899848034972596e-10,3.232739245058648e-07
MIT1003,bloom_filter_5,27.302701736269963,23.559447348554173,21.40609715084329,6.327150229036788e-08,3.725462566713438e-08,1.0009679188703099e-07,1.4050648864039716e-05,1.9425826608700117e-06,3.469031749570008e-05,4.786613177198068e-09,1.8361402049720066e-09,2.444772507540852e-08,1.2685662298623314e-06,9.930716422430174e-08,8.100078411188606e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,2.1650612320847704e-06,2.0730158729617804e-06,6.780685980222334e-07,1.0474957378131631e-05,1.0379396935799923e-05,1.7778354061248368e-06,-4.745043477189514e-08,-2.695033733422106e-08,1.5026778722723107e-07,2.7546105734811914e-09,4.55788296187815e-09,8.390215860379487e-07,2.6438852916163706e-10,-1.2012142571269676e-09,7.611121019692847e-08,-2.247181018190671e-10,1.3960689222095417e-10,2.700087733749181e-07
MIT1003,bloom_filter_6,28.642136802631093,25.049232906765408,21.67634487897473,7.260493657459564e-08,4.232194640064263e-08,1.307070366651831e-07,1.6044484169440398e-05,2.148692340686343e-06,3.881608754888796e-05,5.4613056215585294e-09,1.9232707788834984e-09,3.9444148470989805e-08,1.2882627672509159e-06,1.0143683594108033e-07,7.558995797179069e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,2.162596857131585e-06,2.0699750256640137e-06,6.787436786860109e-07,1.0481005174420054e-05,1.0434539864075111e-05,1.7878211355457134e-06,-4.9914809725080984e-08,-2.517524516066275e-08,1.6236424851814846e-07,8.802406861904538e-09,-3.0657613048240917e-09,8.701789016388125e-07,2.2791040860332317e-09,-1.08036570958277e-09,1.411743931526404e-07,5.175166443934733e-10,-6.64387163937661e-11,2.539120011810504e-07
MIT1003,bloom_filter_7,29.930772728765692,26.415804489232553,21.94613286544695,8.390518526260784e-08,4.636604636378765e-08,1.7873789615090005e-07,1.80723793033107e-05,2.6188602682516835e-06,4.270942213848564e-05,5.523645845131875e-09,2.047763742164232e-09,3.646929761877362e-08,1.2710765479139565e-06,1.0899573755381229e-07,6.790779361503927e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,2.160373654803719e-06,2.0696107312409852e-06,6.776360612932907e-07,1.0478511195080758e-05,1.0417832468842304e-05,1.7976345670929283e-06,-5.213801205294654e-08,-3.1498938221895524e-08,1.6939000089653682e-07,6.308427522607398e-09,-5.759988921994651e-09,9.46735336965371e-07,1.850879578791308e-09,-1.0929272803143472e-09,1.3129648498133145e-07,-2.8219620153310902e-09,-2.259562043411813e-10,1.9005053744425872e-07
MIT1003,bloom_filter_8,31.224131970630154,27.789132012261284,22.222052515050223,9.428034364773698e-08,5.200437684413824e-08,2.0137002267898384e-07,2.0197252537694827e-05,3.0966738021470076e-06,4.69024210425109e-05,5.539994879127047e-09,2.1240362800845155e-09,3.445713867248041e-08,1.245743559897705e-06,1.2880443967025415e-07,6.209343330373452e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,2.1558192255533767e-06,2.0708636965496955e-06,6.73866957424037e-07,1.0473814703811907e-05,1.0404058239115749e-05,1.7764834563603545e-06,-5.669244130328883e-08,-3.381613324503093e-08,1.797338165298046e-07,1.6119362537572522e-09,-5.923077963665977e-09,1.0234400239089869e-06,1.3549104084737273e-09,-1.1816100630121684e-09,1.2498468689565447e-07,-6.017850575191475e-10,-1.938750016426301e-10,2.1026692391330025e-07
