transformation,divergence,divergence_log,reference_gap,reference_gap_log,information_asymmetry,information_asymmetry_log,information_asymmetry_gap,information_asymmetry_gap_log
Boundary,0.8831920774614418,94.43705392486508,-0.005298314222986544,-3.9374591456926424,-0.18356502850589276,0.33520964799104236,-0.08349058183451386,-0.36830779831405625
Compression_1,0.7869154678580663,98.21218969147542,-0.10157492382636202,-0.16232337908230932,-0.09313005610343535,0.7070354383383268,0.006944390567943562,0.0035179920332282233
Compression_2,0.7704813493639026,94.41041003211554,-0.11800904232052578,-3.9641030384421896,-0.13860997039916995,0.6631979064898562,-0.03853552372779104,-0.04031953981524239
ContrastChange_1,0.717783125669517,88.46621610773542,-0.17070726601491137,-9.908296962822305,-0.01667426296537175,0.5462574346441261,0.08340018370600716,-0.15726001166097248
ContrastChange_2,1.3412270407122628,110.53371028037104,0.4527366490278345,12.159197209813314,-0.4620724005866399,-0.3016847538488542,-0.361997953915261,-1.0052022001539527
Cropping_1,0.7518438626381087,102.93866309175924,-0.1366465290463197,4.564150021201513,0.2418531336863424,0.892301419843104,0.3419275803577213,0.18878397353800536
Cropping_2,0.7479697894246123,104.62393582081357,-0.140520602259816,6.249422750255846,0.1901765285702294,0.7417190918575143,0.2902509752416083,0.038201645552415675
Inversion,0.9123856431930382,110.38687083988745,0.023895251508609827,12.012357769329725,-0.08529126042467135,0.5180885914046371,0.014783186246707561,-0.18542885490046146
Mirroring,0.8306718535283406,97.75181718276426,-0.05781853815608773,-0.6226958877934692,-0.08832864640859577,0.6929976190619037,0.011745800262783143,-0.01051982724319489
MotionBlur_1,0.9076144820961599,116.21187496334893,0.019124090411731576,17.837361892791208,0.07649157974666428,0.7012252776237006,0.1765660264180432,-0.0022921686813980324
MotionBlur_2,0.9612989410428193,110.50028591537829,0.07280854935839098,12.12577284482056,-0.012052015360134975,0.6759783662575483,0.08802243131124393,-0.027539080047550346
Noise_1,0.901999678742192,92.77399561448816,0.013509287057763664,-5.600517456069568,-0.009039975343685693,0.5964350188029713,0.09103447132769321,-0.10708242750212726
Noise_2,0.8362674149239249,100.20724035543977,-0.05222297676050347,1.83272728488204,-0.038831008003697376,0.5388525968296736,0.06124343866768153,-0.16466484947542503
Reference,0.8884903916844283,98.37451307055773,0.0,0.0,-0.10007444667137891,0.7035174463050986,0.0,0.0
Rotation_1,0.4823669946105937,74.1860331101458,-0.40612339707383466,-24.188479960411925,0.1778570046054657,0.20616706735796422,0.2779314512768446,-0.4973503789471344
Rotation_2,0.44621964058518676,89.02406853894317,-0.4422707510992416,-9.350444531614556,0.1522659532972163,0.22372524091737042,0.2523403999685952,-0.47979220538772815
Shearing_1,0.8036373741095665,93.674945833115,-0.08485301757486186,-4.6995672374427215,-0.07546434957128927,0.47803373361911033,0.024610097100089642,-0.22548371268598827
Shearing_2,0.6944317504500068,89.24580060575843,-0.19405864123442151,-9.128712464799293,-0.06425262022231168,0.3305670182248305,0.03582182644906723,-0.3729504280802681
Shearing_3,0.8430259974718656,66.7017150940961,-0.045464394212562764,-31.672797976461624,-0.0815200663418414,0.05748075784474124,0.018554380329537504,-0.6460366884603573
